MCHP	44.34	-0.17	
MU	20.12	+0.51	
MSFT	46.62	-0.04	
MHK	193.57	-1.64	
TAP	71.65	-0.53	
MDLZ	41.89	-0.08	
MON	107.08	-0.74	
MNST	140.06	+0.38	
MCO	112.74	-0.01	
MS	40.20	+0.29	
MOS	45.26	-0.01	
MSI	58.85	-0.44	
MUR	37.49	-1.24	
MYL	68.47	+0.03	
NBR	12.45	-0.40	
NDAQ	51.84	-0.03	
NOV	43.01	-0.48	
NAVI	16.86	+0.19	
NTAP	31.14	-0.08	
NFLX	114.77	-1.04	
NWL	41.72	-0.31	
NFX	34.14	-1.16	
NEM	20.69	-0.69	
NWSA	14.81	+0.15	
NEE	103.65	-0.78	
NLSN	45.52	-0.29	
NKE	112.80	+0.46	
NI	16.90	-0.42	
NE	13.36	-0.68	
NBL	38.34	-0.04	
JWN	78.66	-0.86	
NSC	85.94	+0.34	
NTRS	77.92	-0.74	
NOC	168.99	-0.87		
NRG	22.24	-0.01	
NUE	42.69	-0.57	
NVDA	20.07	-0.12	
KORS	40.52	-0.73	
ORLY	238.69	-0.28	
OXY	71.92	-0.58	
OMC	73.80	+0.35	
OKE	40.39	-0.59	
ORCL	40.40	-0.56	
OI	21.98	-0.29	
PCG	51.33	-0.94	
PCAR	64.48	-1.06	
PLL	125.68	-0.12	
PH	113.20	-0.89	
PDCO	49.11	-0.12	
PAYX	47.45	-0.46	
PNR	63.83	-0.55	
PBCT	16.18	-0.21	
POM	27.06	+0.01	
PEP	96.78	-0.12	
PKI	52.28	-0.07	
PRGO	185.86	-0.95		
PFE	35.07	-0.03	
PM	85.83	+0.54	
PSX	83.24	+0.03	
PNW	60.42	-0.75	
PXD	128.36	-1.71	
PBI	21.09	-0.25	
PCL	40.82	-0.33	
PNC	98.81	-0.41	
RL	130.76	-2.23	
PPG	111.80	-0.02	
PPL	31.10	-0.32	
PX	117.01	-1.20	
PCP	193.45	+0.87	
PCLN	1216.00	+33.01	
PFG	52.82	-0.27	
PG	82.24	-0.06	
PGR	31.28	+1.10	
PLD	39.50	+0.00	
PRU	88.76	-0.77	
PEG	41.41	-0.48	
PSA	198.40	-1.79	
PHM	20.09	-0.40	
PVH	114.09	-1.33	
QEP	15.03	-0.58	
PWR	28.19	-0.32	
QCOM	64.34	-0.21	
DGX	73.26	-0.61	
RRC	43.12	-3.09	
RTN	99.89	-0.62	
RHT	79.06	-1.53	
REGN	551.98	+0.45	
RF	10.12	-0.27	
RSG	40.76	+0.02	
RAI	79.20	+0.19	
RHI	57.05	-0.84	
ROK	123.74	+0.24	
COL	92.89	+0.07	
ROP	176.96	-0.12	
ROST	52.27	-0.69	
RCL	84.28	-0.67	
R	91.49	+0.36		
CRM	72.81	+0.39	
SNDK	55.39	-0.63	
SCG	53.66	-0.47	
SLB	83.71	-0.18	
SNI	64.86	-1.91	
STX	48.15	+0.25	
SEE	52.70	-0.20	
SRE	102.40	-1.50	
SHW	266.01	+4.78	
SIAL	139.60	+0.05	
SPG	183.06	-0.37	
SJM	108.46	-0.15	
SNA	162.59	+0.90	
